NOTICE:  Player ID: 327, Name: Pascale Lambert, Total Points: 28
NOTICE:  Player ID: 177, Name: Paul Miller, Total Points: 14
NOTICE:  Player ID: 141, Name: John Harvey, Total Points: 26
NOTICE:  Player ID: 377, Name: Stephanie Bond, Total Points: 18
NOTICE:  Player ID: 271, Name: Misty Boone, Total Points: 6
NOTICE:  Player ID: 382, Name: Mason Rosa, Total Points: 10
NOTICE:  Player ID: 259, Name: Lyle Mcpherson, Total Points: 8
NOTICE:  Player ID: 8, Name: Quin Walker, Total Points: 10
NOTICE:  Player ID: 7, Name: Alexandria Griffith, Total Points: 5
NOTICE:  Player ID: 56, Name: Erik Parks, Total Points: 1
NOTICE:  Player ID: 263, Name: Samantha Riddle, Total Points: 27
NOTICE:  Player ID: 215, Name: Carlos Williams, Total Points: 15
NOTICE:  Player ID: 145, Name: Kevin Clayton, Total Points: 2
NOTICE:  Player ID: 274, Name: Adam Rutledge, Total Points: 19
NOTICE:  Player ID: 197, Name: Dora Shepherd, Total Points: 6
NOTICE:  Player ID: 227, Name: Jose Huffman, Total Points: 20
NOTICE:  Player ID: 183, Name: Ciara Ramos, Total Points: 19
NOTICE:  Player ID: 53, Name: Zia Lester, Total Points: 9
NOTICE:  Player ID: 261, Name: Signe Pitts, Total Points: 20
NOTICE:  Player ID: 70, Name: William Bryant, Total Points: 29
NOTICE:  Player ID: 373, Name: Jason Gates, Total Points: 24
NOTICE:  Player ID: 390, Name: Austin Harvey, Total Points: 9
NOTICE:  Player ID: 400, Name: Brian Frey, Total Points: 4
NOTICE:  Player ID: 88, Name: Antonio Keller, Total Points: 26
NOTICE:  Player ID: 32, Name: Bree Wells, Total Points: 10
NOTICE:  Player ID: 290, Name: Vanessa Henderson, Total Points: 19
NOTICE:  Player ID: 157, Name: Sarah Evans, Total Points: 11
NOTICE:  Player ID: 314, Name: Brenda Smith, Total Points: 2
NOTICE:  Player ID: 73, Name: Rae Peck, Total Points: 6
NOTICE:  Player ID: 127, Name: Jonathan Underwood, Total Points: 30
NOTICE:  Player ID: 291, Name: Tim Perez, Total Points: 7
NOTICE:  Player ID: 416, Name: Jonas Mays, Total Points: 0
NOTICE:  Player ID: 196, Name: Lori Flynn, Total Points: 9
NOTICE:  Player ID: 41, Name: Rhiannon Roy, Total Points: 10
NOTICE:  Player ID: 52, Name: Jose Young, Total Points: 8
NOTICE:  Player ID: 47, Name: Krystal Bradley, Total Points: 1
NOTICE:  Player ID: 104, Name: Kevin Zimmerman, Total Points: 23
NOTICE:  Player ID: 178, Name: Ashley Jackson, Total Points: 1
NOTICE:  Player ID: 90, Name: Colin Parks, Total Points: 14
NOTICE:  Player ID: 13, Name: Arthur Mcconnell, Total Points: 0
NOTICE:  Player ID: 479, Name: Elliott Allison, Total Points: 3
NOTICE:  Player ID: 300, Name: Donald Martinez, Total Points: 9
